160,Bún mọc,5
161,Bò Kho,5
162,Hủ Tiếu Sườn,5
163,Phở Gà,5
164,Nui Xương Heo,5
165,Bánh Canh Cá,5
166,Su hào xào cà rốt,6
167,Cải bắp xào cà chua,6
168,Ngô sen xào cần tây,6
169,Đậu cô ve hạt điều,6
170,Đậu phụ kho su hào,6
171,Đậu phụ kho đậu cô ve,6
172,Nấm rơm chiên giòn,6
173,Bí đỏ chiên giòn,6
174,Đậu phụ sốt cà chua,6
175,Đậu phụ xào rau củ,6
176,Đậu phụ kho măng,6
177,Đậu phụ nhồi mướp đắng kho,6
178,Đậu phụ xào miến,6
179,"Đậu phụ xào giá, hẹ",6
180,Đậu phụ chiên giòn,6
181,Đậu phụ cuộn lá lốt,6
182,Nấm rơm xào tỏi,6
183,Gỏi ngó sen chay,6
184,Salad chay,6
185,Dưa chuột xào ớt chuông,6
186,Cà tím xào chay,6
187,Canh bí đỏ đậu phụ,7
188,Canh nấm đậu phụ,7
189,Canh bông cải chay,7
190,Canh kim chi chay,7
191,Canh mướp nấu nấm,7
192,Canh rau ngót đậu phụ,7
193,Canh bí đao nấm hương,7
194,Canh su hào nấu cà rốt,7
195,Canh rau cải nấu đậu phụ,7
196,Canh bầu nấu hẹ,7
197,Canh cải bắp hạt sen,7
198,Canh cà rốt nấu khoai tây,7
199,Canh cải cúc nấu mộc nhĩ,7
200,Canh cải thìa nấm hương,7
201,Canh hoa chuối đậu phụ,7
202,Canh cải xanh nấu măng tây,7
203,Canh đậu đũa nấu củ cải trắng,7
204,Canh mồng tới nấu bí đao,7
205,Canh củ dền nấu khoai môn,7
206,Canh nấm rơm giá đỗ,7
